alpha,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.3,1.218309894,10.54901599,0.828690095,168.8606636,0.62558607,-5.74E-08,-9.08E-09,7.32E-14
0.295,1.248226576,10.62795606,0.832376605,168.7866058,0.629782428,-8.68E-08,-1.24E-07,2.67E-13
0.29,1.279847167,10.67033434,0.836087656,167.8555801,0.650096833,-4.14E-07,3.42E-06,-2.35E-12
0.285,1.310922115,10.80401704,0.839841011,168.6087055,0.638789392,-1.83E-07,-3.05E-07,-1.15E-13
0.28,1.343698148,10.89619925,0.843613949,168.423589,0.645247646,-2.20E-07,-8.10E-09,-2.11E-13
0.275,1.377440529,11.00061539,0.847412961,168.3400075,0.649646923,-9.75E-08,-2.01E-07,3.02E-14
0.27,1.412143914,11.11165297,0.851229329,168.2552775,0.654068838,-1.09E-08,-4.11E-07,4.17E-13
0.265,1.447773179,11.21973602,0.855059242,168.0116207,0.661607059,-2.04E-12,-2.61E-13,4.47E-15
0.26,1.484352616,11.34002142,0.858898146,167.8583026,0.667343089,-2.95E-12,-7.10E-13,4.45E-14
0.255,1.523981107,11.55405346,0.862738911,168.9436624,0.646762497,-3.68E-07,-5.26E-06,3.10E-13
0.25,1.560267336,11.59957977,0.866587085,167.5263233,0.67923011,-1.61E-07,-3.36E-09,-1.54E-13
0.245,1.599564543,11.73866955,0.870437131,167.3468231,0.685385524,-3.06E-08,-4.76E-09,-1.52E-14
0.24,1.639722896,11.8839219,0.874279983,167.1559632,0.691710501,-9.05E-12,-1.65E-12,-1.71E-13
0.235,1.680713233,12.03577302,0.878112213,166.9565863,0.698146102,-4.06E-11,-9.17E-12,-4.32E-15
0.23,1.722617411,12.21737281,0.881926358,167.0831935,0.698870767,-6.05E-08,-1.00E-06,2.45E-13
0.225,1.765052055,12.36012993,0.885725857,166.5259393,0.711431853,-4.14E-08,8.64E-10,-5.45E-14
0.22,1.808320609,12.53208519,0.889504524,166.294736,0.718255916,-3.08E-13,5.82E-14,1.89E-13
0.215,1.852261096,12.71106023,0.893253496,166.0492778,0.725249056,-4.18E-08,5.58E-09,-2.70E-14
0.21,1.898519791,13.00164073,0.896974546,167.1249641,0.709493541,-1.59E-07,-3.52E-06,-2.62E-12
0.205,1.942198828,13.13034391,0.900654042,166.0759897,0.731046918,-2.42E-07,-1.25E-06,8.92E-15
0.2,1.987585053,13.29076036,0.904303459,165.2468376,0.746797871,-1.11E-07,6.82E-10,-6.37E-13
0.195,2.033689978,13.5126428,0.907909041,165.1488465,0.751466252,-5.29E-08,-3.79E-07,7.16E-13
0.19,2.080115564,13.71364961,0.911468178,164.6415301,0.761725733,4.07E-12,8.50E-13,3.62E-13
0.185,2.126873064,13.93636498,0.914976072,164.316138,0.769338582,1.02E-11,1.65E-11,-9.92E-14
0.18,2.17386099,14.16742007,0.918428674,163.9735186,0.777047158,3.01E-12,9.61E-14,4.29E-14
