c_relative,c,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.1,0.008335198,1.218309924,10.54879887,0.828690081,168.8567627,0.625668719,-5.85E-08,1.07E-08,2.52E-12
0.09,0.007621771,1.233048755,10.54723944,0.828305353,168.944079,0.623382879,-5.90E-08,-1.58E-07,-2.18E-12
0.08,0.006908343,1.247935669,10.54252801,0.827919211,168.9706189,0.622356788,-5.60E-08,-2.33E-08,1.04E-11
0.07,0.006194915,1.262984358,10.53490506,0.827531642,168.9399932,0.622516901,-5.11E-08,3.95E-07,-1.44E-13
0.06,0.005481487,1.278175587,10.54017685,0.82714259,169.1452658,0.617698514,-4.60E-08,-3.68E-07,-1.33E-13
0.05,0.004768059,1.293513824,10.53346986,0.826752029,169.1277958,0.617597171,-4.23E-08,-7.73E-09,-9.27E-14
0.04,0.004054631,1.3090466,10.53876045,0.826359792,169.3241204,0.612837857,-4.22E-08,-7.51E-07,8.65E-14
0.03,0.003341203,1.324684713,10.53357623,0.82596558,169.3298736,0.612241931,-5.90E-08,-5.02E-07,-1.50E-11
0.02,0.002627775,1.340484764,10.52808173,0.825570433,169.3271752,0.611820784,-5.32E-08,-2.12E-07,1.25E-12
0.01,0.001914347,1.356451462,10.52362236,0.825174215,169.3403219,0.611041438,-2.79E-08,-5.01E-09,-2.40E-13
5.55E-17,0.001200919,1.372578919,10.52098443,0.824779858,169.3927451,0.609389425,-1.95E-11,-5.43E-12,1.33E-13
0.11,0.009048626,1.203725361,10.5551771,0.829073354,168.8553653,0.626154984,-5.95E-08,-2.50E-07,-9.46E-13
0.12,0.009762054,1.189283181,10.55701962,0.829455289,168.7677678,0.628421073,-5.22E-08,-8.09E-08,3.99E-13
0.13,0.010475482,1.174991387,10.56013312,0.829835613,168.701537,0.630237957,-6.06E-08,-1.75E-08,-2.79E-12
0.14,0.01118891,1.160846645,10.56386968,0.830214721,168.6433565,0.631870806,-5.30E-08,3.80E-09,1.91E-13
0.15,0.011902338,1.146847635,10.56811613,0.830592477,168.5916627,0.633359186,-4.09E-08,-7.71E-09,2.78E-13
0.16,0.012615766,1.132993357,10.57232779,0.830968869,168.5366869,0.634907,-2.65E-08,-2.78E-09,2.87E-14
0.17,0.013329194,1.119282865,10.57622287,0.831343192,168.4743689,0.636589,-6.88E-08,3.72E-08,1.77E-14
0.18,0.014042622,1.105714942,10.58120264,0.831717216,168.4274585,0.637958009,-2.21E-08,2.64E-09,-2.45E-14
0.19,0.01475605,1.092288778,10.58596264,0.832089009,168.3736562,0.639452247,-1.71E-08,6.40E-10,1.57E-13
0.2,0.015469478,1.079003317,10.5908329,0.832459135,168.3191662,0.640944511,-3.25E-08,2.71E-10,1.17E-13
0.21,0.016182906,1.065857518,10.59583313,0.8328278,168.2648393,0.642433271,-5.37E-08,1.06E-09,5.13E-13
0.22,0.016896333,1.05285382,10.60406895,0.833196039,168.2687923,0.642791669,-4.16E-08,-2.73E-07,-4.85E-12
0.23,0.017609761,1.039980579,10.60627518,0.833563262,168.1561876,0.645374482,-8.16E-09,-3.79E-10,-6.00E-15
0.24,0.018323189,1.027247499,10.61168455,0.833928851,168.10146,0.646837254,6.11E-12,1.79E-12,7.81E-15
0.25,0.019036617,1.014649948,10.61724195,0.834292987,168.046742,0.648290481,-6.64E-12,-1.68E-12,1.42E-13
0.26,0.019750045,1.002186891,10.62295507,0.83465577,167.9919335,0.649736082,4.67E-11,1.16E-11,-8.88E-14
0.27,0.020463473,0.989857297,10.62882445,0.835017207,167.9370906,0.651173953,-4.85E-11,-7.59E-13,3.95E-14
0.28,0.021176901,0.97766013,10.63485069,0.835377309,167.8821705,0.652604333,-4.34E-12,-5.47E-13,1.23E-13
0.29,0.021890329,0.965594348,10.64103387,0.835736086,167.8271266,0.654027209,-2.27E-11,-6.09E-12,-7.97E-14
0.3,0.022603757,0.953658921,10.64737404,0.83609355,167.7720406,0.65544272,-2.30E-12,-5.69E-13,-1.74E-13
0.31,0.023317185,0.941852802,10.65387155,0.836449713,167.7168137,0.65685091,4.21E-11,1.03E-11,-2.81E-14
0.32,0.024030613,0.930174964,10.66052686,0.836804584,167.6615493,0.658251736,-5.64E-13,-1.10E-13,-8.19E-14
0.33,0.024744041,0.918624366,10.66734031,0.837158175,167.6061823,0.659645407,9.64E-12,2.36E-12,-2.38E-13
0.34,0.025457468,0.907199955,10.67438019,0.837509978,167.5503853,0.661032657,-2.85E-11,-6.81E-12,4.98E-14
0.35,0.026170896,0.8959007,10.68160041,0.837860356,167.4945973,0.662413072,-1.22E-10,-1.20E-11,4.61E-13
0.36,0.026884324,0.88472557,10.68897241,0.838209543,167.4387766,0.663786468,-6.27E-11,6.25E-12,-7.61E-14
0.37,0.027597752,0.873673528,10.69649582,0.838557557,167.3826289,0.66515271,7.57E-12,1.84E-12,1.18E-13
0.38,0.02831118,0.862743606,10.70462027,0.83890421,167.3357542,0.666353622,-1.89E-08,-3.99E-08,1.06E-13
0.39,0.029024608,0.851935197,10.71342995,0.839249763,167.299173,0.667373069,-3.70E-08,-1.24E-07,2.84E-14
0.4,0.029738036,0.84125209,10.72477448,0.839594363,167.3080721,0.667613192,-4.62E-08,-4.05E-07,-3.12E-13
0.41,0.030451464,0.830675614,10.72796144,0.839938101,167.1569208,0.670553971,-4.25E-08,1.86E-09,-1.28E-13
