kappa,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
40,1.21830992,10.54886669,0.828690061,168.8581008,0.625641945,-6.01E-08,4.33E-09,1.60E-13
39,1.195552844,10.68368399,0.826054325,168.7430156,0.62463692,-3.85E-08,-1.16E-07,-3.43E-14
38,1.17231534,10.82879391,0.823318109,168.5637453,0.624697898,2.50E-11,6.76E-12,-4.48E-15
37,1.148583738,10.99095774,0.820465015,168.3912377,0.624379405,2.37E-11,6.11E-12,-5.45E-15
36,1.12434152,11.17053672,0.81749129,168.1992631,0.624169499,-3.08E-11,-8.00E-12,-2.72E-15
35,1.099571899,11.36925573,0.814393564,167.9848247,0.624070668,1.03E-11,3.41E-12,1.82E-15
34,1.075254322,11.64676388,0.811150767,168.7481748,0.606441234,-1.10E-07,-4.23E-06,1.40E-14
33,1.048380436,11.84071325,0.807760143,167.4699225,0.624345387,-8.51E-08,1.12E-08,1.68E-13
32,1.022041628,12.14161638,0.804208347,167.5758113,0.618759316,-1.18E-07,-1.39E-06,-1.06E-12
31,0.994860902,12.44090849,0.800481602,166.8247294,0.625076492,-7.64E-08,-2.22E-08,-4.06E-13
30,0.967176722,12.80582108,0.796564143,166.4161875,0.625894314,-7.94E-12,-1.04E-11,-1.19E-14
29,0.938846206,13.22826729,0.792436911,165.9520746,0.626832306,6.30E-12,1.45E-12,-1.65E-13
28,0.909961451,13.75068247,0.788066651,165.9649151,0.622448445,-1.61E-07,-1.30E-06,-8.85E-14
27,0.880144855,14.31651732,0.783457123,164.7596454,0.629461548,-5.06E-10,-1.14E-10,-5.88E-15
26,0.850746165,15.13734501,0.778541241,165.8967149,0.614476479,-3.51E-07,-3.82E-06,-5.11E-13
25,0.818539564,15.94329498,0.773316181,162.7959897,0.634320895,-2.50E-07,2.42E-07,7.76E-13
24,0.786562459,17.15141002,0.767733896,161.7647432,0.635380966,-1.89E-07,-6.43E-08,1.11E-12
23,0.753778497,18.86758486,0.761739454,160.3356342,0.637027465,-2.95E-07,-3.20E-07,1.66E-14
22,0.720323547,21.51708756,0.755280626,150.4166253,0.647772735,-3.24E-07,1.49E-06,2.00E-13
21,0.685647776,29.40909842,0.748296576,149.097208,0.64521641,6.38E-11,1.30E-11,-2.72E-13
42,1.262448462,10.31628878,0.83367794,169.100157,0.626856724,9.18E-12,6.79E-13,-9.31E-14
44,1.304848172,10.12219341,0.838320132,169.2990509,0.628317451,-9.05E-09,-6.33E-09,1.45E-13
46,1.345620932,9.959214755,0.842658535,169.4598992,0.630061599,-3.55E-08,6.03E-09,-2.37E-13
48,1.384906362,9.830541062,0.846721084,169.7232793,0.628539797,-3.07E-07,-7.98E-07,-1.31E-13
50,1.422708568,9.707427394,0.850553335,169.7044646,0.633895804,-1.94E-07,9.82E-10,2.49E-13
52,1.459225088,9.608802513,0.85417138,169.7629788,0.636845477,-6.17E-08,1.99E-07,1.04E-14
54,1.49451415,9.533245016,0.857591368,169.9149962,0.636800817,-1.44E-07,-3.27E-07,-1.40E-13
56,1.528653186,9.462785998,0.86084165,169.9224799,0.640503918,-9.34E-08,7.89E-09,-5.57E-15
58,1.561738025,9.407532524,0.863935916,169.9683822,0.642804401,-3.74E-08,-1.62E-10,-9.34E-14
60,1.593839992,9.362475905,0.866889002,170.0019601,0.645190521,-1.21E-12,-3.53E-13,9.39E-14
62,1.625030643,9.326633688,0.869712231,170.0257261,0.647620871,-4.98E-12,-3.04E-12,1.00E-13
64,1.655376521,9.298725077,0.872419542,170.040925,0.650086042,-3.91E-12,-1.15E-12,2.67E-14
66,1.684939359,9.27803503,0.875019719,170.0484229,0.652584041,7.57E-13,2.19E-13,2.03E-14
68,1.713776123,9.263795131,0.877522321,170.0513912,0.655034583,-3.80E-08,-1.60E-08,-2.44E-12
70,1.74193938,9.254804001,0.87993637,170.0439703,0.657647424,-7.49E-08,-6.55E-10,-1.24E-13
72,1.769477529,9.250754833,0.882269259,170.030431,0.660302718,-9.67E-08,1.98E-08,7.15E-14
74,1.796434839,9.251706895,0.884527705,170.0182901,0.662764472,-8.35E-08,-5.54E-09,-5.65E-14
76,1.822865607,9.250751662,0.886717033,169.9278786,0.667716063,-6.01E-08,5.01E-07,5.48E-13
78,1.848766081,9.264846754,0.888842155,169.9751161,0.667927898,-3.34E-08,-1.17E-08,-1.91E-13
80,1.874210691,9.276407973,0.890906673,169.9457222,0.670593664,-3.44E-08,-2.50E-10,5.94E-14
