index,b,d,chi,c, alpha,theta,kappa,T,Tbar,mu,mubar,sw_start_x,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x1,err_sw_x2
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,40,0.025,0.025,0.855945253,28.41957066,0.613435097,148.4054928,0.613435097,0.794737855,-2.07E-13,-2.18E-14,-2.17E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,39,0.025,0.025641026,0.853158349,28.30141985,0.609804654,148.5960311,0.609804654,0.783243518,-7.77E-15,1.74E-14,-1.91E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,38,0.025,0.026315789,0.850257922,28.17942248,0.606073995,148.7901418,0.606073995,0.771424839,2.29E-15,3.72E-16,9.09E-12
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,37,0.025,0.027027027,0.847231322,28.05564353,0.602250397,148.988148,0.602250397,0.75926887,6.86E-14,6.43E-15,1.79E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,36,0.025,0.027777778,0.844073345,27.92858916,0.598321219,149.1885776,0.598321219,0.74676212,-1.42E-13,-4.23E-15,-4.06E-12
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,35,0.025,0.028571429,0.840774716,27.79762488,0.59427891,149.3928967,0.594281623,0.733890303,-5.86E-08,8.31E-10,2.30E-12
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,34,0.025,0.029411765,0.837324572,27.66361914,0.590115524,149.6029549,0.59010695,0.720638526,-1.50E-07,-2.67E-09,-4.51E-12
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,33,0.025,0.03030303,0.833714601,27.54676507,0.585556955,149.9321843,0.584700379,0.706992761,-1.85E-07,-2.71E-07,1.17E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,32,0.025,0.03125,0.829930198,27.40885502,0.581091243,150.1725317,0.580057247,0.692934244,-2.54E-07,-3.32E-07,7.82E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,31,0.025,0.032258065,0.825961127,27.17355391,0.577703211,149.8842553,0.580359169,0.678458568,-2.47E-07,8.65E-07,-5.96E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,30,0.025,0.033333333,0.821790199,27.14508467,0.571416724,150.8061949,0.56897371,0.663521754,-2.42E-07,-8.13E-07,1.14E-12
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,29,0.025,0.034482759,0.817401917,26.93203373,0.56732509,150.706115,0.567341447,0.648110438,-1.81E-07,5.53E-09,3.51E-11
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,28,0.025,0.035714286,0.812778088,26.81842549,0.561707053,151.2095611,0.559714501,0.632234835,-1.17E-07,-6.87E-07,5.18E-13
1,0.140168,0.13,0.32596,0.1,0.3,0.45,40,40,27,0.025,0.037037037,0.807896783,26.61477884,0.557026056,151.2207699,0.556751924,0.615839838,-5.09E-08,-9.63E-08,-5.20E-12
