theta,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
0.45,1.218347214,10.55795723,0.8286901,169.0232095,0.622163971,-6.07E-08,-8.30E-07,-1.09E-13
0.435,1.120596405,10.45605952,0.816287651,169.0552069,0.61198614,-7.72E-08,-1.57E-07,-2.47E-13
0.43,1.089836303,10.44012702,0.81217939,169.084278,0.608149178,-5.64E-08,-1.26E-07,-6.35E-13
0.425,1.059954802,10.4313351,0.808088432,169.0861329,0.604845015,6.65E-12,1.76E-12,-2.94E-13
0.42,1.030935348,10.43254831,0.804008203,169.0987903,0.60128001,-2.43E-08,1.17E-08,1.20E-13
0.415,1.002758807,10.44238689,0.799948221,169.1056495,0.59780056,-4.65E-11,-1.27E-11,-1.30E-14
0.41,0.97620908,10.50331203,0.795901043,169.8557292,0.577284415,-2.55E-07,-4.74E-06,-3.04E-14
0.405,0.948856169,10.489039,0.791877202,169.0802366,0.591543844,-1.78E-07,2.34E-08,1.90E-12
0.4,0.923088519,10.52668656,0.787878476,169.0574421,0.588552647,4.30E-11,1.17E-11,-9.07E-14
0.395,0.898082349,10.57282869,0.783892149,168.9845575,0.586541526,-6.46E-08,2.03E-07,-1.57E-12
0.455,1.25274312,10.59561774,0.83284745,168.7821722,0.630344819,6.29E-11,1.66E-11,8.76E-14
0.46,1.288130407,10.65045149,0.837007025,168.6953558,0.635237731,-4.72E-08,-8.17E-09,-5.88E-13
0.465,1.324516011,10.72115484,0.84117031,168.7475308,0.637289168,-2.49E-07,-7.05E-07,2.40E-12
0.47,1.362274085,10.81576175,0.845343174,169.0500394,0.633856357,-3.12E-07,-2.64E-06,-5.58E-14
0.475,1.400156197,10.85249604,0.849522795,168.2476846,0.653425714,-1.73E-07,4.48E-07,-4.73E-13
0.48,1.439467723,10.94226935,0.853706988,168.2176243,0.657176442,2.16E-11,5.51E-12,7.90E-15
0.485,1.479807809,11.03329126,0.857887746,168.0644533,0.663259495,-5.72E-12,-2.64E-12,-1.25E-16
0.49,1.52117259,11.13130469,0.862068854,167.8952047,0.669613685,-8.44E-12,-2.13E-12,1.71E-14
0.495,1.563771769,11.26104362,0.866245386,168.1122678,0.668844779,-6.41E-08,-1.46E-06,1.10E-14
0.505,1.651518986,11.46763893,0.874594056,167.2789397,0.69047851,-1.26E-07,-4.31E-09,-9.87E-13
0.51,1.69708275,11.59252379,0.878768776,167.0294448,0.698131607,-9.00E-12,-2.20E-12,9.18E-15
0.515,1.743943784,11.75380723,0.882927667,167.2222981,0.698662033,-1.34E-07,-1.34E-06,7.43E-14
0.52,1.791421842,11.86344428,0.887088583,166.4552059,0.714548022,1.39E-10,3.33E-11,-5.69E-13
0.525,1.840198428,12.008757,0.891236094,166.1232511,0.723370603,-2.35E-08,3.93E-10,-7.30E-14
0.53,1.890039725,12.16324624,0.895373947,165.803245,0.732016675,-4.68E-08,-1.00E-07,-2.63E-13
0.535,1.940922612,12.31908575,0.899501306,165.3531068,0.742306589,-8.47E-13,-2.00E-13,5.17E-14
