kappa,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
40.0,1.21830991959471,10.54886669413885,0.8286900608672568,168.85810083941882,0.6256419451689951,-6.0121286174147e-08,4.328907460730911e-09,1.6016354908998665e-13
39.0,1.19555284365587,10.683683994678436,0.8260543248866231,168.7430156482066,0.6246369195944442,-3.854639779829445e-08,-1.158698786370969e-07,-3.4333647036532966e-14
38.0,1.17231533970650,10.82879391230902,0.8233181092770274,168.5637453398894,0.6246978983176598,2.5033436054747475e-11,6.760010771467442e-12,-4.4825254619240695e-15
37.0,1.14858373825862,10.990957742684694,0.8204650147399615,168.39123771482537,0.6243794046972754,2.3667436902542738e-11,6.105045285038834e-12,-5.4539706084710815e-15
36.0,1.12434151998729,11.170536720160936,0.8174912898114485,168.19926307659875,0.6241694987690143,-3.080115984721533e-11,-8.003579887212886e-12,-2.7200464103316335e-15
35.0,1.09957189942296,11.369255726929108,0.8143935643226405,167.98482470335742,0.6240706682531213,1.0323873595336494e-11,3.4088904681005874e-12,1.817990202823694e-15
34.0,1.07525432211468,11.646763882949239,0.8111507670737081,168.74817475659518,0.6064412339087962,-1.0955824379374003e-07,-4.227556368701908e-06,1.4030443473700416e-14
33.0,1.04838043557034,11.840713248508287,0.8077601428309316,167.46992254698478,0.6243453873545012,-8.512972248711369e-08,1.1222643920637645e-08,1.675048988403205e-13
32.0,1.02204162810980,12.141616383741612,0.8042083466046905,167.57581131238672,0.6187593162606615,-1.1750609389972317e-07,-1.3945167425883964e-06,-1.059853593776694e-12
31.0,0.994860902373472,12.440908486497472,0.8004816021479482,166.8247294435924,0.6250764916500813,-7.642151075404579e-08,-2.2248683553283686e-08,-4.061750935591135e-13
30.0,0.967176721828679,12.805821075024319,0.7965641431154157,166.41618752127383,0.6258943144827539,-7.93650799910494e-12,-1.0400103067538004e-11,-1.1879386363489175e-14
29.0,0.938846205636885,13.228267290355886,0.7924369112857267,165.95207460734588,0.6268323064186148,6.300486516014708e-12,1.4548160192311416e-12,-1.6464607455191071e-13
28.0,0.909961451227854,13.750682474369487,0.7880666506344893,165.96491505743197,0.6224484453117071,-1.611385573988454e-07,-1.2951866182319831e-06,-8.849865285043279e-14
27.0,0.880144854648069,14.316517318143456,0.7834571226955017,164.75964544173985,0.6294615479222578,-5.062902184190238e-10,-1.1351720078552562e-10,-5.88418203051333e-15
26.0,0.850746164630921,15.13734501412831,0.7785412411721478,165.8967148662665,0.6144764786270984,-3.511256385455146e-07,-3.824451536219015e-06,-5.106887135397642e-13
25.0,0.818539564261673,15.94329497517983,0.7733161810256998,162.79598971181855,0.6343208951191113,-2.504466324547876e-07,2.423391437643299e-07,7.755740494275187e-13
