T,Tbar,mu,mubar,sw_start_x,sw_end_t,sw_end_x,univ_point_t,univ_point_x,outcome,err_sw_t,err_sw_x
40,40,0.025,0.025,0.8559452529927332,28.419570656833574,0.6134350972716347,148.4054927508272,0.6134350973726793,0.794737854819940,-2.073602803916543e-13,-2.1845585522551873e-14,-2.1716253795212026e-11
40,39,0.025,0.02564102564102564,0.8531583486653119,28.301419854353753,0.6098046537274433,148.5960310928138,0.6098046539677071,0.783243517849179,-7.770094958344399e-15,1.743454055559231e-14,-1.9131710105035893e-11
40,38,0.025,0.02631578947368421,0.850257922125945,28.179422478303,0.6060739947451413,148.79014175068176,0.606073994929582,0.771424838549161,2.290761218817208e-15,3.722341549911665e-16,9.090284081025857e-12
40,37,0.025,0.02702702702702703,0.8472313221716213,28.055643532945012,0.6022503968964492,148.9881480051567,0.6022503971042898,0.759268869916366,6.85950445449453e-14,6.429357741425462e-15,1.787783809881205e-11
40,36,0.025,0.027777777777777776,0.8440733452370192,27.928589164508857,0.5983212190036259,149.18857759911492,0.5983212191790926,0.746762119640365,-1.4186434840035957e-13,-4.228347463437454e-15,-4.058781089000263e-12
40,35,0.025,0.02857142857142857,0.8407747157585175,27.797624882924787,0.5942789102960998,149.39289671920943,0.5942816229266965,0.733890303051901,-5.861026370278347e-08,8.314581289366619e-10,2.3046425878803234e-12
40,34,0.025,0.029411764705882353,0.8373245715615395,27.663619136790324,0.5901155244992508,149.60295493730595,0.590106949817472,0.720638525692440,-1.5036932463041102e-07,-2.6679420256142325e-09,-4.5077275245830606e-12
40,33,0.025,0.030303030303030304,0.8337146007584069,27.546765065188495,0.5855569549279817,149.93218429307854,0.5847003786755083,0.706992761159669,-1.854670266404144e-07,-2.7084604819208524e-07,1.16854997900262e-11
40,32,0.025,0.03125,0.8299301982694325,27.40885502007118,0.5810912434406663,150.1725317132269,0.580057247226586,0.692934243589165,-2.5434014262586314e-07,-3.322483029835849e-07,7.815036118241636e-11
40,31,0.025,0.03225806451612903,0.8259611273859451,27.17355391234626,0.5777032113660462,149.8842552780892,0.5803591687606364,0.678458568069815,-2.4705301406487585e-07,8.650790371351124e-07,-5.963202154291025e-11
40,30,0.025,0.03333333333333333,0.8217901992338758,27.14508467455229,0.5714167243097474,150.80619491327926,0.5689737095118953,0.663521754466526,-2.418004058419124e-07,-8.128174748664365e-07,1.135688765252496e-12
